arm,round,rps,p50,p99,dropped,failed,responses,offered,accounting,proc_cpu_s,idle_arm_cpu_s,machine_busy_s,us_proc,us_machine,nproc,wall_s
a,1,199.985071,5.23ms,16.92ms,0,0.00%,6001,6000,yes,45.06,0.23,45.47,7508.7,7577.1,4,30.6
b,1,199.998309,5.03ms,27.88ms,0,0.00%,6001,6000,yes,34.03,0.56,99.61,5670.7,16598.9,4,32.3
a,2,199.993887,4.95ms,19.19ms,0,0.00%,6001,6000,yes,43.56,2.23,45.75,7258.8,7623.7,4,32.1
b,2,200.004608,6.25ms,29.75ms,0,0.00%,6001,6000,yes,37.62,0.58,103.48,6269.0,17243.8,4,32.4
a,3,199.985385,5.47ms,18.65ms,0,0.00%,6001,6000,yes,47.94,2.15,49.78,7988.7,8295.3,4,32.0
b,3,199.986229,7.78ms,33.94ms,0,0.00%,6001,6000,yes,39.90,0.60,105.00,6648.9,17497.1,4,32.4
