arm,round,rps,p50,p99,dropped,failed,responses,offered,accounting,proc_cpu_s,idle_arm_cpu_s,machine_busy_s,us_proc,us_machine,nproc,wall_s,machine_over_arms,contamination
a,1,179.992894,5.8ms,17ms,0,0.00%,5401,5400,yes,45.05,0.40,45.25,8341.0,8378.1,4,31.5,1.00,clean
b,1,179.994079,4.8ms,15.71ms,0,0.00%,5400,5400,yes,34.35,2.10,36.04,6361.1,6674.1,4,32.2,0.99,clean
a,2,179.991643,5.3ms,20.25ms,0,0.00%,5400,5400,yes,43.03,1.04,43.90,7968.5,8129.6,4,32.0,1.00,clean
b,2,180.002389,4.98ms,57.06ms,0,0.00%,5401,5400,yes,35.82,2.24,37.82,6632.1,7002.4,4,32.0,0.99,clean
a,3,179.943916,5.4ms,23.12ms,0,0.00%,5401,5400,yes,43.58,0.99,44.19,8068.9,8181.8,4,32.0,0.99,clean
b,3,179.994702,4.91ms,50.04ms,0,0.00%,5400,5400,yes,35.21,2.06,36.70,6520.4,6796.3,4,32.2,0.98,clean
a,4,179.991091,5.33ms,21.65ms,0,0.00%,5401,5400,yes,43.36,1.04,44.21,8028.1,8185.5,4,32.0,1.00,clean
b,4,180.003925,4.73ms,35.09ms,0,0.00%,5401,5400,yes,33.96,1.96,35.48,6287.7,6569.2,4,32.3,0.99,clean
a,5,179.995493,5.21ms,24.32ms,0,0.00%,5401,5400,yes,42.61,0.98,43.39,7889.3,8033.7,4,32.0,1.00,clean
b,5,179.946674,4.89ms,74.7ms,0,0.00%,5401,5400,yes,35.14,1.99,36.82,6506.2,6817.3,4,32.3,0.99,clean
a,6,179.998104,5.31ms,24.01ms,0,0.00%,5401,5400,yes,43.41,0.96,44.09,8037.4,8163.3,4,32.0,0.99,clean
b,6,179.996328,4.95ms,41.62ms,0,0.00%,5401,5400,yes,35.59,2.04,37.06,6589.5,6861.7,4,32.0,0.98,clean
a,7,179.992477,7.11ms,44.79ms,0,0.00%,5401,5400,yes,42.42,0.93,43.80,7854.1,8109.6,4,32.0,1.01,clean
b,7,179.983889,6.39ms,130.82ms,0,0.00%,5401,5400,yes,33.95,2.04,36.04,6285.9,6672.8,4,32.0,1.00,clean
a,8,179.983802,7.53ms,62.08ms,0,0.00%,5401,5400,yes,44.15,1.02,45.38,8174.4,8402.1,4,32.1,1.00,clean
b,8,179.984285,6.28ms,163.23ms,0,0.00%,5400,5400,yes,33.47,1.90,35.89,6198.1,6646.3,4,32.3,1.01,clean
a,9,179.938569,7.34ms,41.53ms,0,0.00%,5401,5400,yes,43.22,0.88,44.25,8002.2,8192.9,4,31.9,1.00,clean
b,9,179.980972,6.36ms,206.69ms,0,0.00%,5400,5400,yes,33.86,2.06,36.07,6270.4,6679.6,4,32.0,1.00,clean
